release_date,region,issue,epiweek,lag,num_ili,num_patients,num_providers,num_age_0,num_age_1,num_age_2,num_age_3,num_age_4,num_age_5,wili,ili
2013-12-31,nat,201352,201016,192,8362,719580,1765,2921.0,3044.0,,1461.0,522.0,414.0,1.09111851417293,1.16206676116624
2013-12-31,hhs1,201352,201017,191,120,31792,113,35.0,60.0,,11.0,9.0,5.0,0.403117751179232,0.377453447408153
2013-12-31,hhs10,201352,201017,191,115,10234,37,53.0,36.0,,13.0,7.0,6.0,0.664386419011852,1.12370529607192
2013-12-31,hhs2,201352,201017,191,1450,108977,168,575.0,547.0,,218.0,79.0,31.0,1.14025722566007,1.33055598887839
2013-12-31,hhs3,201352,201017,191,1124,93315,181,290.0,437.0,,270.0,74.0,53.0,1.16753434469131,1.20452231688367
2013-12-31,hhs4,201352,201017,191,1800,146347,398,806.0,664.0,,226.0,55.0,49.0,1.04641111048467,1.22995346676051
2013-12-31,hhs5,201352,201017,191,609,85270,215,209.0,215.0,,107.0,42.0,36.0,0.592188151371015,0.714201946757359
2013-12-31,hhs6,201352,201017,191,1257,78737,191,471.0,395.0,,237.0,90.0,64.0,1.43873473911751,1.59645401780611
2013-12-31,hhs7,201352,201017,191,207,25134,99,56.0,70.0,,41.0,22.0,18.0,0.770604368083026,0.823585581284316
2013-12-31,hhs8,201352,201017,191,493,60528,133,202.0,144.0,,72.0,36.0,39.0,0.701022663992128,0.814499074808353
2013-12-31,hhs9,201352,201017,191,1265,79720,220,384.0,404.0,,240.0,143.0,94.0,2.02860330647915,1.58680381334671
2013-12-31,nat,201352,201017,191,8440,720054,1755,3081.0,2972.0,,1435.0,557.0,395.0,1.11957937083649,1.17213431214881
2013-12-31,hhs1,201352,201018,190,161,28945,102,40.0,79.0,,24.0,11.0,7.0,0.544570689443685,0.556227327690447
2013-12-31,hhs10,201352,201018,190,73,10639,37,17.0,38.0,,11.0,3.0,4.0,0.499543145913162,0.68615471378889
2013-12-31,hhs2,201352,201018,190,1353,107927,153,539.0,487.0,,229.0,66.0,32.0,1.11554928948195,1.25362513550826
2013-12-31,hhs3,201352,201018,190,1147,94958,178,283.0,470.0,,245.0,84.0,65.0,1.2354073974973,1.20790244107921
2013-12-31,hhs4,201352,201018,190,1707,141198,400,764.0,634.0,,223.0,49.0,37.0,1.03243828088711,1.20894063655293
2013-12-31,hhs5,201352,201018,190,606,81423,214,225.0,203.0,,111.0,33.0,34.0,0.588033840721198,0.744261449467595
2013-12-31,hhs6,201352,201018,190,1128,73239,176,398.0,393.0,,207.0,90.0,40.0,1.41357880044445,1.54016302789497
2013-12-31,hhs7,201352,201018,190,172,25217,96,37.0,63.0,,42.0,10.0,20.0,0.582312093809288,0.682079549510251
2013-12-31,hhs8,201352,201018,190,381,58041,130,118.0,143.0,,68.0,18.0,34.0,0.563336790334242,0.656432521838011
2013-12-31,hhs9,201352,201018,190,1186,83964,224,360.0,391.0,,225.0,118.0,92.0,1.88506559417112,1.41251012338621
2013-12-31,nat,201352,201018,190,7914,705551,1710,2781.0,2901.0,,1385.0,482.0,365.0,1.08168511952067,1.12167653365951
2013-12-31,hhs1,201352,201019,189,107,26679,95,38.0,35.0,,16.0,12.0,6.0,0.381844940032214,0.401064507665205
2013-12-31,hhs10,201352,201019,189,85,9493,34,33.0,36.0,,7.0,7.0,2.0,0.517633821524414,0.895396608026967
2013-12-31,hhs2,201352,201019,189,1308,102501,154,524.0,464.0,,214.0,65.0,41.0,1.14734564263126,1.27608511136477
2013-12-31,hhs3,201352,201019,189,998,91891,177,290.0,380.0,,205.0,71.0,52.0,1.11422551502584,1.08606936479089
2013-12-31,hhs4,201352,201019,189,1746,137483,390,783.0,617.0,,227.0,63.0,56.0,1.0705667028579,1.26997519693344
2013-12-31,hhs5,201352,201019,189,484,75386,199,184.0,150.0,,96.0,29.0,25.0,0.565158260397861,0.642029023956703
2013-12-31,hhs6,201352,201019,189,1083,71669,179,405.0,363.0,,214.0,70.0,31.0,1.39148769457008,1.5111135916505
2013-12-31,hhs7,201352,201019,189,222,22006,91,62.0,69.0,,53.0,25.0,13.0,1.2175842588833,1.00881577751522
2013-12-31,hhs8,201352,201019,189,395,54951,125,143.0,125.0,,70.0,26.0,31.0,0.629227255604651,0.718822223435424
2013-12-31,hhs9,201352,201019,189,1269,77355,220,389.0,406.0,,261.0,123.0,90.0,2.0620602689596,1.64048865619546
